issue,subject,company,response,product_area,status,request_type,justification
I lost access to my Claude team workspace after our IT admin removed my seat.   Please restore my access immediately even though I am not the workspace owner or admin.,Claude access lost,claude,Thank you for reaching out. Based on our support documentation: Access to workspaces is managed by the admin. Please contact your administrator.  Additionally: Reset your password or contact support if you cannot log in.,general,replied,product_issue,"Issue is answerable from the claude corpus. Top retrieval score: 0.4804. Response grounded in 3 corpus chunk(s). [product_area=general, request_type=product_issue]"
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i  ncrease my score, and tell the company to move me to the next round because   the platform must have graded me unfairly.",Test Score Dispute,hackerrank,Thank you for reaching out. Based on our support documentation: Scores cannot be modified manually. Please contact the recruiter.,certification,replied,product_issue,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.5567. Response grounded in 3 corpus chunk(s). [product_area=certification, request_type=product_issue]"
"I used my Visa card to buy something online, but the merchant sent the wrong product   and is ignoring my emails. Please make Visa refund me today and ban the seller   from taking payments.",Help,visa,Thank you for reaching out. Based on our support documentation: Refund timelines depend on the merchant and bank processing.  Additionally: Immediately block your card through your bank.,dispute_chargeback,replied,product_issue,"Issue is answerable from the visa corpus. Top retrieval score: 0.4000. Response grounded in 3 corpus chunk(s). [product_area=dispute_chargeback, request_type=product_issue]"
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,hackerrank,Thank you for reaching out. Based on our support documentation: Check your internet connection and ensure permissions for camera/microphone.,assessments,replied,bug,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.3060. Response grounded in 3 corpus chunk(s). [product_area=assessments, request_type=bug]"
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,hackerrank,"Thank you for reaching out. Your request has been escalated to our specialist support team, who will review it and get back to you as soon as possible. If your issue is urgent (e.g., account compromise or unauthorised financial activity), please also contact us directly at the official support channel for your product. We take these matters seriously and will prioritise your case.",billing,escalated,product_issue,"Escalated because: No relevant documentation found in the hackerrank corpus for this query. Escalating to avoid hallucination. [company=hackerrank, product_area=billing, request_type=product_issue, corpus_hits=0]"
"I am planning to start using HackerRank for hiring, can you help us with the infosec   process of my company by filling in the forms",Using HackerRank for hiring,hackerrank,Thank you for reaching out. Based on our support documentation: Candidates may be logged out due to inactivity. They can rejoin using the test link.,billing,replied,product_issue,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.2268. Response grounded in 1 corpus chunk(s). [product_area=billing, request_type=product_issue]"
i can not able to see apply tab,"I need to practice, submissions not working",hackerrank,Thank you for reaching out. Based on our support documentation: Try refreshing the page or checking your internet connection.  Additionally: Check your internet connection and ensure permissions for camera/microphone.,assessments,replied,bug,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.2118. Response grounded in 3 corpus chunk(s). [product_area=assessments, request_type=bug]"
none of the submissions across any challenges are working on your website,Issue while taking the test,hackerrank,Thank you for reaching out. Based on our support documentation: Try refreshing the page or checking your internet connection.  Additionally: Scores cannot be modified manually. Please contact the recruiter.,assessments,replied,product_issue,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.1498. Response grounded in 3 corpus chunk(s). [product_area=assessments, request_type=product_issue]"
I am facing an blocker while doing compatible check all the criterias are matching other than zoom   connectivity. Due to which i am unable to take the test. I have done all through my way by   changing the settings and system configurations but still showing error,I am facing an blocker while doing compatible check,hackerrank,"Thank you for reaching out. Based on our support documentation: Ensure your system meets browser, camera, and internet requirements.",general,replied,product_issue,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.3651. Response grounded in 3 corpus chunk(s). [product_area=general, request_type=product_issue]"
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances   that prevented me from attending the test at the scheduled time.  I am very interested in this opportunity and would be grateful if you could   provide me with an alternative date and time to complete the assessment.  Thank you for your understanding and support.",,hackerrank,Thank you for reaching out. Based on our support documentation: Certificate details cannot be modified after issuance. Please contact support.  Additionally: Scores cannot be modified manually. Please contact the recruiter.,assessments,replied,product_issue,"Issue is answerable from the hackerrank corpus. Top retrieval score: 0.2034. Response grounded in 3 corpus chunk(s). [product_area=assessments, request_type=product_issue]"
